TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Cluster,TransactionType,Location,Channel,CustomerOccupation
124.75999999999999,49.0,45.0,1.0,5764.72,1,Debit,Seattle,Branch,Engineer
78.13,26.0,145.0,1.0,900.6099999999997,0,Debit,Milwaukee,Branch,Student
649.28,75.0,137.0,1.0,4875.86,1,Debit,San Jose,ATM,Retired
795.31,66.0,90.0,2.0,7914.88,1,Debit,Mesa,ATM,Doctor
335.63,55.0,216.0,1.0,1019.3899999999999,1,Debit,Oklahoma City,Online,Retired
328.47,63.0,119.0,1.0,4323.66,1,Debit,San Antonio,ATM,Retired
34.01999999999998,38.0,19.0,1.0,14214.48,1,Debit,Philadelphia,Online,Doctor
241.42,57.0,116.0,1.0,13357.02,1,Credit,Charlotte,Online,Doctor
55.31999999999999,19.0,117.0,1.0,241.78999999999996,0,Debit,Tucson,ATM,Student
304.31,27.0,33.0,1.0,868.6099999999997,0,Debit,Louisville,Branch,Student
435.27,74.0,90.0,1.0,4673.28,1,Debit,Chicago,Branch,Retired
164.49,26.0,75.0,1.0,1509.27,0,Debit,Baltimore,Branch,Student
510.24,19.0,105.0,1.0,781.6999999999998,0,Debit,Oklahoma City,Online,Student
626.9,26.0,138.0,1.0,265.5100000000002,0,Debit,Denver,Online,Student
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,0,Credit,Sacramento,Online,Engineer
425.34,69.0,121.0,1.0,3907.54,1,Credit,Kansas City,Online,Retired
424.56,51.0,264.0,1.0,5183.85,1,Debit,Omaha,Online,Engineer
85.43,67.0,145.0,1.0,14904.9,1,Debit,Virginia Beach,Branch,Doctor
169.5,28.0,142.0,1.0,918.8800000000001,0,Debit,San Diego,Branch,Student
104.63,62.0,90.0,1.0,4477.78,1,Debit,Omaha,ATM,Retired
316.95,25.0,83.0,1.0,1324.0299999999997,0,Debit,Mesa,Branch,Student
60.53999999999999,57.0,52.0,1.0,3534.93,1,Credit,Columbus,Branch,Retired
292.56,68.0,61.0,1.0,4638.37,1,Credit,Dallas,Branch,Retired
386.52,48.0,28.0,1.0,5630.61,1,Debit,Indianapolis,Branch,Engineer
112.07,23.0,51.0,1.0,930.3000000000002,0,Debit,Kansas City,Branch,Student
568.52,46.0,152.0,1.0,5499.91,1,Debit,Indianapolis,ATM,Engineer
263.99,79.0,227.0,2.0,4175.02,1,Debit,Dallas,Branch,Retired
349.64,48.0,226.0,1.0,6651.62,1,Debit,Las Vegas,Online,Engineer
601.4,56.0,104.0,1.0,8458.29,1,Credit,Philadelphia,Branch,Engineer
5.769999999999982,50.0,124.0,1.0,13988.12,1,Debit,Charlotte,Online,Doctor
201.33,42.0,186.0,1.0,2585.07,0,Credit,Nashville,Branch,Engineer
298.42,56.0,225.0,1.0,3014.75,1,Debit,Indianapolis,Branch,Retired
521.06,25.0,128.0,1.0,1951.42,0,Debit,Albuquerque,Branch,Student
117.28,60.0,16.0,1.0,3665.77,1,Credit,Austin,Online,Engineer
189.12,32.0,103.0,1.0,977.0100000000002,0,Credit,Indianapolis,Branch,Engineer
133.55,44.0,220.0,1.0,3846.28,1,Debit,Atlanta,ATM,Engineer
143.21,35.0,135.0,1.0,6374.82,1,Debit,Dallas,Online,Engineer
24.769999999999982,62.0,55.0,1.0,5866.01,1,Debit,Boston,ATM,Retired
233.92,26.0,280.0,1.0,6537.62,0,Credit,Jacksonville,Online,Student
1212.51,20.0,24.0,1.0,605.9499999999998,0,Debit,Indianapolis,Branch,Student
232.12,37.0,51.0,1.0,6689.87,1,Debit,Omaha,ATM,Engineer
162.63,22.0,113.0,1.0,634.1700000000001,0,Debit,Kansas City,Online,Student
91.53,44.0,69.0,1.0,14676.05,1,Debit,Milwaukee,Branch,Doctor
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,0,Debit,Miami,Branch,Student
174.25,50.0,67.0,1.0,10528.34,1,Debit,Seattle,Online,Doctor
183.71,38.0,102.0,1.0,552.5200000000004,0,Debit,Denver,ATM,Engineer
345.39,58.0,80.0,1.0,6451.96,1,Credit,Phoenix,Online,Engineer
922.55,63.0,87.0,1.0,4715.84,1,Debit,Detroit,ATM,Retired
259.91,49.0,170.0,1.0,7176.86,1,Debit,Denver,Online,Doctor
154.71,34.0,157.0,1.0,1523.7200000000003,0,Debit,San Diego,Online,Doctor
1340.19,54.0,30.0,1.0,8654.28,1,Credit,Austin,Online,Engineer
24.560000000000002,64.0,69.0,1.0,9869.93,1,Debit,Mesa,Branch,Doctor
568.07,48.0,115.0,1.0,10556.81,1,Debit,Washington,ATM,Doctor
9.610000000000014,58.0,179.0,1.0,12883.91,1,Credit,San Diego,Online,Doctor
392.96,24.0,100.0,1.0,791.6499999999996,0,Debit,Kansas City,Online,Student
716.93,60.0,34.0,1.0,4064.02,1,Credit,Milwaukee,Online,Retired
223.85,53.0,55.0,4.0,2929.91,2,Debit,Kansas City,ATM,Engineer
230.66,21.0,135.0,1.0,618.0500000000002,0,Debit,Houston,Branch,Student
442.12,19.0,260.0,1.0,1375.8000000000002,0,Debit,Los Angeles,Online,Student
644.17,29.0,72.0,1.0,1143.52,0,Debit,San Antonio,ATM,Engineer
508.68,51.0,127.0,1.0,7708.41,1,Credit,Mesa,Branch,Engineer
858.6300000000001,27.0,185.0,1.0,1872.96,0,Credit,San Francisco,Branch,Student
25.360000000000014,57.0,78.0,1.0,201.03999999999996,1,Debit,Louisville,ATM,Engineer
147.62,71.0,133.0,1.0,2115.8,1,Debit,Charlotte,Branch,Retired
115.01999999999998,37.0,175.0,1.0,7643.66,1,Debit,San Antonio,Branch,Doctor
383.37,30.0,24.0,1.0,8901.93,1,Debit,Fort Worth,Branch,Engineer
98.54000000000002,20.0,167.0,1.0,9383.43,0,Credit,El Paso,Online,Student
83.24000000000001,55.0,164.0,1.0,1181.31,1,Credit,Fort Worth,Branch,Doctor
196.16,27.0,146.0,1.0,9418.86,1,Debit,Virginia Beach,Branch,Engineer
129.94,32.0,235.0,1.0,7954.92,1,Debit,Las Vegas,ATM,Engineer
306.9,46.0,51.0,1.0,9418.08,1,Debit,Colorado Springs,Online,Engineer
114.98000000000002,59.0,80.0,1.0,6144.68,1,Debit,Seattle,Online,Retired
756.59,27.0,17.0,1.0,420.64999999999964,0,Debit,Sacramento,Branch,Student
503.76,22.0,35.0,1.0,447.8199999999997,0,Debit,Los Angeles,Online,Student
143.03,63.0,147.0,1.0,7981.45,1,Debit,San Antonio,ATM,Retired
1045.22,53.0,73.0,1.0,1829.9,1,Debit,Columbus,ATM,Retired
245.54,25.0,180.0,1.0,985.0599999999995,0,Debit,New York,ATM,Student
254.37,51.0,174.0,1.0,8849.26,1,Credit,Dallas,Online,Engineer
213.76,78.0,282.0,1.0,3528.72,1,Credit,Dallas,ATM,Retired
327.86,40.0,104.0,1.0,480.15999999999985,0,Debit,Fresno,Online,Engineer
2.5,47.0,107.0,1.0,12145.27,1,Debit,San Diego,Online,Doctor
300.08,68.0,47.0,1.0,13546.75,1,Credit,Austin,Online,Doctor
56.97999999999999,43.0,122.0,2.0,5688.37,1,Credit,Oklahoma City,ATM,Engineer
407.65,26.0,62.0,1.0,8346.64,1,Debit,Boston,Online,Engineer
115.82999999999996,39.0,167.0,1.0,6481.04,1,Debit,Fresno,Branch,Engineer
53.56999999999999,69.0,121.0,1.0,1651.33,1,Debit,Houston,ATM,Retired
63.34,46.0,165.0,1.0,11174.94,1,Credit,Detroit,Online,Doctor
317.87,27.0,91.0,1.0,145.5,0,Debit,Detroit,Online,Student
331.65,41.0,61.0,1.0,4172.57,1,Debit,Portland,Online,Engineer
5.0400000000000205,56.0,41.0,1.0,5558.36,1,Debit,Washington,ATM,Retired
214.54,70.0,247.0,1.0,11151.53,1,Credit,Detroit,Online,Doctor
598.81,57.0,158.0,1.0,1415.52,1,Debit,Philadelphia,Branch,Doctor
841.28,26.0,80.0,1.0,1103.6400000000008,0,Debit,Tucson,Online,Student
38.14999999999998,26.0,108.0,1.0,303.6800000000003,0,Debit,Mesa,Online,Student
1036.66,58.0,144.0,1.0,5541.57,1,Debit,San Antonio,Branch,Doctor
124.72,33.0,105.0,1.0,6309.8,1,Debit,Oklahoma City,Branch,Engineer
302.45,78.0,40.000000000000014,1.0,5133.61,1,Credit,San Antonio,Branch,Retired
208.04,47.0,273.0,1.0,9344.98,1,Debit,Louisville,Online,Engineer
5.769999999999982,23.0,254.0,1.0,1117.9700000000003,0,Credit,Los Angeles,Branch,Student
381.33,56.0,75.0,1.0,11835.35,1,Debit,Albuquerque,ATM,Doctor
16.160000000000025,50.0,124.0,1.0,14401.17,1,Debit,Milwaukee,ATM,Doctor
486.08,18.0,68.0,1.0,1748.69,0,Debit,Oklahoma City,Online,Student
336.39,21.0,18.0,1.0,1000.46,0,Debit,San Antonio,Branch,Student
997.4300000000001,69.0,118.0,1.0,6810.05,1,Debit,Seattle,Online,Doctor
234.57,23.0,120.0,1.0,263.97999999999956,0,Debit,Chicago,Online,Student
6.0,30.0,246.0,1.0,5442.76,0,Debit,Chicago,Online,Doctor
1049.92,80.0,20.999999999999986,1.0,2037.85,1,Debit,Detroit,ATM,Retired
227.14,18.0,294.0,1.0,341.9399999999996,0,Debit,Charlotte,ATM,Student
233.74,66.0,17.0,1.0,1066.5900000000001,1,Credit,Oklahoma City,Online,Retired
113.01999999999998,69.0,166.0,1.0,6077.96,1,Credit,Jacksonville,Branch,Retired
45.849999999999994,20.0,92.0,1.0,1659.15,0,Debit,Los Angeles,ATM,Student
973.3900000000001,77.0,296.0,1.0,2042.2200000000003,1,Debit,Sacramento,Branch,Retired
514.95,41.0,142.0,5.0,421.9300000000003,2,Debit,New York,Online,Doctor
415.5,66.0,141.0,1.0,10113.66,1,Debit,Memphis,ATM,Doctor
265.76,54.0,92.0,1.0,4446.17,1,Debit,Philadelphia,Online,Retired
69.4,80.0,113.0,1.0,6452.77,1,Debit,Virginia Beach,Online,Retired
332.93,35.0,293.0,1.0,2788.2,0,Credit,Albuquerque,Branch,Engineer
267.9,20.0,160.0,1.0,596.1599999999999,0,Debit,San Antonio,Online,Student
496.03,61.0,265.0,1.0,12904.66,1,Debit,San Francisco,Branch,Doctor
376.26,37.0,245.0,1.0,9062.4,1,Debit,Tucson,ATM,Engineer
83.01999999999998,36.0,171.0,1.0,9009.56,1,Credit,Seattle,Online,Engineer
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,0,Credit,New York,Online,Student
803.37,68.0,129.0,1.0,12168.37,1,Credit,Memphis,Branch,Doctor
35.75999999999999,23.0,122.0,1.0,611.8599999999997,0,Debit,Charlotte,Branch,Student
28.53000000000003,62.0,99.0,1.0,8670.53,1,Debit,Washington,Online,Doctor
139.53,53.0,177.0,1.0,10098.86,1,Credit,Louisville,Online,Doctor
307.57,33.0,285.0,1.0,5307.74,0,Debit,Detroit,Branch,Doctor
60.650000000000006,56.0,53.0,1.0,1047.2799999999993,1,Credit,Tucson,Branch,Retired
74.86000000000001,70.0,125.0,1.0,6921.48,1,Debit,Nashville,Branch,Doctor
117.97,51.0,137.0,1.0,1475.46,1,Debit,Kansas City,Branch,Retired
231.91,34.0,165.0,1.0,112.76000000000022,0,Debit,Memphis,ATM,Engineer
126.20999999999998,75.0,268.0,1.0,5669.66,1,Debit,Baltimore,Branch,Retired
506.28,53.0,162.0,2.0,1309.9499999999998,1,Credit,Chicago,Online,Retired
304.35,31.0,36.0,1.0,4057.1,0,Debit,Houston,Branch,Engineer
281.85,22.0,109.0,1.0,1585.98,0,Debit,Detroit,ATM,Student
777.88,31.0,17.0,1.0,6825.55,1,Debit,Houston,Branch,Engineer
119.18,56.0,96.0,1.0,5516.5,1,Debit,Los Angeles,Branch,Retired
177.19,76.0,43.0,1.0,5343.3,1,Debit,Chicago,Online,Retired
260.88,22.0,36.0,1.0,903.0500000000002,0,Debit,Denver,Branch,Student
169.47,24.0,19.0,1.0,1806.1599999999999,0,Debit,Chicago,Online,Student
73.23000000000002,26.0,14.0,1.0,787.7399999999998,0,Debit,Portland,Branch,Student
1362.55,29.0,106.0,1.0,2429.68,0,Debit,El Paso,ATM,Engineer
792.57,19.0,164.0,1.0,770.3699999999999,0,Debit,Baltimore,ATM,Student
237.06,71.0,46.0,1.0,1182.7700000000004,1,Debit,Phoenix,Online,Retired
34.170000000000016,54.0,54.0,1.0,726.5500000000002,1,Credit,Philadelphia,Online,Engineer
740.25,41.0,123.0,1.0,14464.3,1,Debit,Philadelphia,Online,Doctor
453.54,58.0,82.0,1.0,12046.3,1,Debit,Albuquerque,ATM,Doctor
300.47,73.0,100.0,1.0,7885.64,1,Debit,Jacksonville,Branch,Retired
110.92999999999998,19.0,201.0,1.0,1952.35,0,Credit,Virginia Beach,Branch,Student
201.69,59.0,299.0,1.0,7328.52,1,Debit,Las Vegas,ATM,Doctor
399.21,59.0,109.0,1.0,3210.39,1,Debit,Portland,ATM,Engineer
1041.88,78.0,57.0,1.0,5726.2,1,Debit,Jacksonville,Online,Retired
630.36,62.0,52.0,1.0,1363.65,1,Debit,Mesa,ATM,Retired
10.939999999999998,60.0,245.0,1.0,1241.9899999999998,1,Credit,Philadelphia,ATM,Engineer
215.9,38.0,235.0,1.0,7873.28,1,Debit,Los Angeles,ATM,Doctor
1422.55,79.0,165.0,1.0,5674.32,1,Debit,Washington,Branch,Retired
226.37,49.0,141.0,1.0,9840.04,1,Credit,Louisville,Branch,Doctor
444.89,43.0,101.0,1.0,10328.23,1,Credit,Las Vegas,Branch,Doctor
280.57,25.0,24.0,1.0,293.2399999999998,0,Credit,Virginia Beach,Online,Student
488.54,52.0,132.0,1.0,7486.63,1,Debit,Jacksonville,Branch,Engineer
3.3000000000000114,50.0,131.0,1.0,11385.37,1,Credit,Los Angeles,Branch,Doctor
199.39,69.0,165.0,1.0,7264.79,1,Debit,Colorado Springs,Branch,Retired
20.360000000000014,62.0,75.0,1.0,2762.48,1,Debit,Tucson,Branch,Retired
113.63999999999999,62.0,32.0,1.0,6675.03,1,Debit,Detroit,Online,Retired
493.11,53.0,236.0,1.0,7432.99,1,Debit,Colorado Springs,Branch,Retired
307.41,19.0,14.0,1.0,1057.0000000000005,0,Debit,Los Angeles,ATM,Student
11.180000000000007,43.0,161.0,1.0,5956.89,1,Debit,Atlanta,Online,Doctor
313.82,59.0,151.0,1.0,7261.59,1,Debit,Tucson,Branch,Engineer
51.0,64.0,107.0,1.0,4943.16,1,Debit,Seattle,Branch,Retired
140.98,60.0,100.0,1.0,8127.48,1,Debit,Memphis,Branch,Engineer
288.04,68.0,63.0,1.0,1748.02,1,Debit,Denver,ATM,Retired
800.55,31.0,108.0,1.0,9660.22,1,Debit,Oklahoma City,ATM,Engineer
485.54,46.0,143.0,1.0,6371.51,1,Debit,Houston,ATM,Engineer
521.15,54.0,214.0,1.0,9442.47,1,Debit,Kansas City,ATM,Doctor
321.79,63.0,61.0,1.0,5959.2,1,Credit,Raleigh,ATM,Retired
304.93,65.0,158.0,1.0,13531.22,1,Debit,Portland,ATM,Doctor
432.08,40.0,145.0,1.0,11500.62,1,Debit,El Paso,ATM,Doctor
694.2,61.0,72.0,1.0,1389.37,1,Debit,Milwaukee,ATM,Retired
116.86000000000001,55.0,171.0,1.0,6706.56,1,Debit,Louisville,ATM,Engineer
386.81,57.0,149.0,1.0,7175.29,1,Credit,Detroit,Online,Doctor
74.88,25.0,202.0,1.0,420.6700000000001,0,Debit,Atlanta,ATM,Student
195.76,75.0,99.0,1.0,7323.53,1,Debit,Philadelphia,Branch,Retired
134.7,50.0,106.0,1.0,8395.85,1,Debit,Fort Worth,ATM,Doctor
890.24,33.0,161.0,1.0,5140.93,0,Credit,Las Vegas,Online,Engineer
361.27,63.0,180.0,1.0,7945.57,1,Debit,Omaha,ATM,Doctor
131.56,44.0,42.0,1.0,5873.54,1,Debit,Charlotte,Branch,Doctor
485.51,76.0,37.0,1.0,3074.45,1,Credit,Milwaukee,Online,Retired
547.87,64.0,131.0,1.0,6155.76,1,Debit,Columbus,ATM,Retired
457.29999999999995,28.0,15.0,1.0,8318.29,1,Debit,Virginia Beach,Online,Engineer
506.24,58.0,64.0,1.0,230.09000000000015,1,Debit,Chicago,ATM,Engineer
486.59,57.0,119.0,1.0,2513.56,1,Debit,Indianapolis,Branch,Retired
163.68,41.0,292.0,1.0,10090.05,1,Debit,San Diego,Branch,Doctor
581.65,22.0,176.0,1.0,480.1899999999996,0,Debit,Boston,ATM,Student
52.00999999999999,48.0,85.0,1.0,1120.88,0,Debit,Mesa,ATM,Doctor
630.24,21.0,62.0,1.0,370.8100000000004,0,Debit,Boston,ATM,Student
523.74,43.0,159.0,1.0,13498.55,1,Debit,Oklahoma City,ATM,Doctor
705.6,40.0,124.0,3.0,14804.7,2,Debit,Phoenix,Branch,Doctor
217.5,46.0,35.0,1.0,3057.4,1,Credit,Denver,Branch,Engineer
91.48000000000002,51.0,141.0,1.0,14942.78,1,Debit,Fort Worth,ATM,Doctor
5.25,39.0,49.0,1.0,14143.32,1,Debit,San Jose,ATM,Doctor
54.03,56.0,161.0,1.0,6736.3,1,Credit,Milwaukee,ATM,Retired
736.73,48.0,10.0,1.0,3313.07,1,Debit,Memphis,Branch,Engineer
368.91,54.0,14.0,1.0,829.71,1,Debit,Virginia Beach,Branch,Doctor
33.06,53.0,170.0,1.0,1540.87,1,Credit,Fort Worth,Online,Retired
66.5,32.0,144.0,1.0,6820.23,1,Credit,Louisville,Online,Engineer
177.08,35.0,85.0,1.0,13475.14,1,Debit,Las Vegas,Online,Doctor
588.54,32.0,130.0,1.0,714.4499999999998,0,Debit,Portland,Branch,Engineer
173.5,21.0,282.0,1.0,1306.9099999999999,0,Debit,Nashville,ATM,Student
78.32999999999996,56.0,189.0,1.0,7255.33,1,Credit,Memphis,Online,Engineer
40.660000000000025,59.0,156.0,1.0,1153.8400000000006,1,Debit,Louisville,Branch,Retired
97.22,77.0,55.0,1.0,6647.73,1,Credit,Atlanta,Branch,Retired
34.06999999999999,22.0,81.0,1.0,8709.77,0,Debit,Philadelphia,Branch,Student
492.06,23.0,74.0,1.0,857.8999999999996,0,Debit,Fresno,Online,Student
842.01,53.0,185.0,1.0,509.4499999999998,0,Credit,Virginia Beach,Online,Doctor
73.55000000000001,51.0,158.0,1.0,2812.06,1,Debit,Atlanta,ATM,Engineer
760.53,57.0,118.0,1.0,6179.91,1,Debit,Phoenix,Online,Engineer
273.08,26.0,134.0,1.0,6609.3,0,Credit,Houston,Branch,Engineer
371.69,67.0,143.0,1.0,3484.32,1,Debit,San Francisco,Branch,Retired
218.96,18.0,13.000000000000014,1.0,754.21,0,Debit,Seattle,ATM,Student
227.39,18.0,65.0,1.0,751.0900000000001,0,Debit,Atlanta,Online,Student
237.99,39.0,86.0,1.0,8510.09,1,Credit,Kansas City,Branch,Doctor
186.6,58.0,13.000000000000014,1.0,1508.7200000000003,1,Debit,Washington,Online,Doctor
341.15,18.0,148.0,1.0,511.3699999999999,0,Debit,San Jose,Online,Student
434.58,59.0,215.0,1.0,12648.32,1,Debit,Memphis,ATM,Doctor
312.88,54.0,44.0,1.0,233.21000000000004,1,Credit,Portland,Branch,Engineer
75.15,23.0,154.0,1.0,1092.92,0,Debit,Boston,ATM,Student
23.30000000000001,59.0,161.0,1.0,6711.15,1,Debit,Los Angeles,ATM,Engineer
47.379999999999995,25.0,61.0,1.0,459.3699999999999,0,Credit,Seattle,Online,Student
512.81,79.0,30.0,1.0,6994.34,1,Debit,Sacramento,Branch,Retired
488.15,43.0,168.0,1.0,7071.09,1,Debit,Louisville,Branch,Engineer
12.819999999999993,44.0,156.0,1.0,9045.19,1,Debit,Fort Worth,ATM,Engineer
66.9,79.0,129.0,4.0,5238.71,2,Credit,Charlotte,Online,Retired
535.91,43.0,22.0,1.0,9642.12,1,Debit,Las Vegas,Online,Engineer
270.72,26.0,53.0,1.0,6263.96,0,Credit,Washington,Online,Engineer
97.98000000000002,72.0,18.0,1.0,7460.33,1,Debit,Denver,Branch,Retired
196.08,61.0,98.0,1.0,4233.82,1,Debit,San Francisco,Online,Retired
251.18,42.0,246.0,1.0,8303.9,1,Debit,San Jose,ATM,Engineer
44.52000000000004,28.0,205.0,1.0,314.27999999999975,0,Debit,El Paso,Online,Student
178.87,35.0,180.0,1.0,5241.23,1,Debit,Baltimore,Online,Doctor
1176.28,54.0,174.0,5.0,323.6899999999996,2,Credit,Kansas City,ATM,Engineer
386.68,46.0,128.0,1.0,6863.06,1,Debit,New York,Branch,Doctor
167.14,76.0,20.0,1.0,3877.73,1,Debit,Denver,Online,Retired
345.22,69.0,253.0,1.0,4046.58,1,Debit,Fresno,Branch,Retired
74.85,72.0,117.0,1.0,2409.73,1,Debit,Raleigh,ATM,Retired
671.73,58.0,54.0,1.0,5211.88,1,Debit,Washington,Branch,Engineer
255.04,45.0,152.0,1.0,6217.86,1,Debit,Seattle,ATM,Engineer
45.77000000000001,25.0,109.0,1.0,5978.12,0,Debit,Philadelphia,Online,Student
329.69,26.0,66.0,1.0,1671.6599999999999,0,Credit,San Antonio,Online,Student
362.04,58.0,198.0,2.0,8421.88,1,Credit,Philadelphia,Branch,Doctor
11.920000000000016,53.0,52.0,1.0,14611.9,1,Debit,San Diego,Branch,Doctor
47.41999999999999,64.0,28.0,1.0,8253.52,1,Debit,San Diego,ATM,Doctor
35.99000000000001,63.0,129.0,1.0,4489.79,1,Debit,Miami,Branch,Retired
151.19,37.0,96.0,1.0,11903.82,1,Credit,New York,Branch,Doctor
242.62,22.0,234.0,1.0,483.02000000000044,0,Credit,San Francisco,Online,Student
48.72,21.0,17.0,1.0,816.0799999999999,0,Debit,Virginia Beach,Branch,Student
43.46000000000001,25.0,80.0,1.0,578.0599999999995,0,Debit,Boston,ATM,Student
1036.2099999999998,25.0,126.0,1.0,477.3000000000002,0,Debit,Omaha,Online,Student
443.78999999999996,53.0,87.0,1.0,3133.8499999999995,1,Debit,Las Vegas,ATM,Retired
365.14,68.0,57.0,1.0,5894.09,1,Debit,Dallas,Online,Retired
757.41,22.0,37.0,1.0,9532.42,0,Debit,Los Angeles,ATM,Student
20.54000000000002,51.0,72.0,1.0,5327.03,1,Debit,Fort Worth,Branch,Engineer
475.36,34.0,105.0,1.0,2000.6,0,Debit,Phoenix,ATM,Engineer
34.74000000000001,56.0,24.0,1.0,6827.57,1,Debit,San Francisco,ATM,Retired
689.54,27.0,93.0,1.0,1633.7600000000002,0,Debit,Oklahoma City,Branch,Student
211.18,73.0,90.0,1.0,4069.17,1,Debit,Washington,ATM,Retired
211.36,51.0,286.0,1.0,7943.47,1,Credit,Fort Worth,Branch,Engineer
744.41,39.0,107.0,1.0,8842.47,1,Credit,Houston,Online,Engineer
61.43000000000001,24.0,170.0,1.0,1882.77,0,Debit,Phoenix,Online,Student
167.44,37.0,82.0,1.0,12526.71,1,Debit,Mesa,Branch,Doctor
361.46,21.0,83.0,1.0,4737.84,0,Debit,Nashville,Online,Student
378.85,78.0,126.0,1.0,2300.53,1,Debit,Virginia Beach,Branch,Retired
241.11,30.0,55.0,1.0,12385.05,1,Debit,Columbus,Branch,Doctor
131.93,31.0,13.000000000000014,1.0,4547.06,0,Credit,Fort Worth,Branch,Engineer
20.28000000000003,36.0,213.0,1.0,2047.83,0,Debit,Oklahoma City,Online,Engineer
415.88,70.0,170.0,1.0,10008.33,1,Debit,San Diego,Branch,Doctor
49.99000000000001,62.0,139.0,1.0,2299.64,1,Debit,Omaha,ATM,Retired
1221.65,27.0,153.0,1.0,243.92000000000007,0,Debit,Denver,Online,Student
100.66,50.0,144.0,1.0,14473.33,1,Debit,Dallas,Branch,Doctor
485.54,19.0,148.0,1.0,1533.3199999999997,0,Debit,Louisville,Online,Student
321.15,46.0,179.0,1.0,7005.05,1,Debit,Los Angeles,Branch,Doctor
711.3,21.0,51.0,1.0,955.3999999999996,0,Debit,San Jose,Branch,Student
12.230000000000018,42.0,139.0,1.0,7844.88,1,Debit,Houston,ATM,Engineer
350.94,20.0,64.0,1.0,221.5600000000004,0,Debit,Colorado Springs,ATM,Student
301.85,54.0,25.0,1.0,6586.19,1,Debit,Columbus,Online,Engineer
29.339999999999975,65.0,30.0,1.0,3944.82,1,Debit,Louisville,Online,Retired
231.71,27.0,148.0,1.0,1127.98,0,Debit,Raleigh,Branch,Student
179.43,58.0,244.0,1.0,2626.63,1,Debit,Oklahoma City,ATM,Retired
36.70999999999998,48.0,55.0,1.0,6459.38,1,Debit,Jacksonville,Branch,Doctor
138.12,53.0,281.0,1.0,1649.69,1,Credit,Los Angeles,Branch,Doctor
233.24,33.0,72.0,1.0,6939.23,1,Debit,Louisville,ATM,Engineer
